Category Name,Extract Schedule (UTC),Transform Schedule (UTC),Extract Item Schedule (UTC),Transform Item Schedule (UTC),Extract Container Name,Extract Cron Schedule,Transform Container Name,Transform Cron Schedule,Extract Item Container Name,Extract Item Cron Schedule,Transform Item Container Name,Transform Item Cron Schedule,category_code
Atasan-Muslim-Wanita-cat.11042684.11042697,3:30,4:30,13:15,18:15,shp-ext-atasan-muslim-wanita,30 3 * * *,shp-tfm-atasan-muslim-wanita,30 4 * * *,shp-ext-atasan-muslim-wanita-itm,15 13 * * *,shp-tfm-atasan-muslim-wanita-itm,15 18 * * *,11042697
Dress-Muslim-cat.11042684.11042702,3:30,4:30,13:45,18:45,shp-ext-dress-muslim,30 3 * * *,shp-tfm-dress-muslim,30 4 * * *,shp-ext-dress-muslim-itm,45 13 * * *,shp-tfm-dress-muslim-itm,45 18 * * *,11042702
Bawahan-Muslim-Wanita-cat.11042684.11042712,3:30,4:30,14:15,19:15,shp-ext-bawahan-muslim-wanita,30 3 * * *,shp-tfm-bawahan-muslim-wanita,30 4 * * *,shp-ext-bawahan-muslim-wanita-itm,15 14 * * *,shp-tfm-bawahan-muslim-wanita-itm,15 19 * * *,11042712
Mukena-Perlengkapan-Sholat-cat.11042684.11042718,3:30,4:30,14:45,19:45,shp-ext-mukena-perlengkapan-sholat,30 3 * * *,shp-tfm-mukena-perlengkapan-sholat,30 4 * * *,shp-ext-mukena-perlengkapan-sholat-itm,45 14 * * *,shp-tfm-mukena-perlengkapan-sholat-itm,45 19 * * *,11042718
Pakaian-Muslim-Pria-cat.11042684.11042725,3:30,4:30,15:15,20:15,shp-ext-pakaian-muslim-pria,30 3 * * *,shp-tfm-pakaian-muslim-pria,30 4 * * *,shp-ext-pakaian-muslim-pria-itm,15 15 * * *,shp-tfm-pakaian-muslim-pria-itm,15 20 * * *,11042725
Pakaian-Muslim-Anak-cat.11042684.11042732,3:45,4:45,15:45,20:45,shp-ext-pakaian-muslim-anak,45 3 * * *,shp-tfm-pakaian-muslim-anak,45 4 * * *,shp-ext-pakaian-muslim-anak-itm,45 15 * * *,shp-tfm-pakaian-muslim-anak-itm,45 20 * * *,11042732
Outerwear-cat.11042684.11042737,3:45,4:45,16:15,21:15,shp-ext-outerwear,45 3 * * *,shp-tfm-outerwear,45 4 * * *,shp-ext-outerwear-itm,15 16 * * *,shp-tfm-outerwear-itm,15 21 * * *,11042737
Set-cat.11042684.11042743,3:45,4:45,16:45,21:45,shp-ext-set,45 3 * * *,shp-tfm-set,45 4 * * *,shp-ext-set-itm,45 16 * * *,shp-tfm-set-itm,45 21 * * *,11042743
Kamera-cat.11044588.11044589,3:45,4:45,17:15,22:15,shp-ext-kamera,45 3 * * *,shp-tfm-kamera,45 4 * * *,shp-ext-kamera-itm,15 17 * * *,shp-tfm-kamera-itm,15 22 * * *,11044589
Lighting-Perlengkapan-Studio-Foto-cat.11044588.11044610,3:45,4:45,17:45,22:45,shp-ext-lighting-perlengkapan-studio-foto,45 3 * * *,shp-tfm-lighting-perlengkapan-studio-foto,45 4 * * *,shp-ext-lighting-perlengkapan-studio-foto-itm,45 17 * * *,shp-tfm-lighting-perlengkapan-studio-foto-itm,45 22 * * *,11044610
Roll-Film-Kertas-Foto-cat.11044588.11044611,4:00,5:00,18:15,23:15,shp-ext-roll-film-kertas-foto,0 4 * * *,shp-tfm-roll-film-kertas-foto,0 5 * * *,shp-ext-roll-film-kertas-foto-itm,15 18 * * *,shp-tfm-roll-film-kertas-foto-itm,15 23 * * *,11044611
