Category URL,Category Name,Extract Schedule (UTC),Transform Schedule (UTC),Extract Item Schedule (UTC),Transform Item Schedule (UTC),Extract Container Name,Extract Cron Schedule,Transform Container Name,Transform Cron Schedule,Extract Item Container Name,Extract Item Cron Schedule,Transform Item Container Name,Transform Item Cron Schedule
https://www.tokopedia.com/p/office-stationery/surat-menyurat,Surat-Menyurat,0:20,1:20,7:00,12:00,tkp-ext-surat-menyurat,20 0 * * *,tkp-tfm-surat-menyurat,20 1 * * *,tkp-ext-surat-menyurat-item,0 7 * * *,tkp-tfm-surat-menyurat-item,0 12 * * *
https://www.tokopedia.com/p/makanan-minuman/susu-olahan-susu,Susu & Olahan Susu,0:20,1:20,7:30,12:30,tkp-ext-susu-olahan-susu,20 0 * * *,tkp-tfm-susu-olahan-susu,20 1 * * *,tkp-ext-susu-olahan-susu-item,30 7 * * *,tkp-tfm-susu-olahan-susu-item,30 12 * * *
https://www.tokopedia.com/p/handphone-tablet/tablet,Tablet,0:20,1:20,8:00,13:00,tkp-ext-tablet,20 0 * * *,tkp-tfm-tablet,20 1 * * *,tkp-ext-tablet-item,0 8 * * *,tkp-tfm-tablet-item,0 13 * * *
https://www.tokopedia.com/p/rumah-tangga/taman,Taman,0:20,1:20,8:30,13:30,tkp-ext-taman,20 0 * * *,tkp-tfm-taman,20 1 * * *,tkp-ext-taman-item,30 8 * * *,tkp-tfm-taman-item,30 13 * * *
https://www.tokopedia.com/p/pertukangan/tape-sealant-perekat,Tape & Sealant Perekat,0:35,1:35,9:00,14:00,tkp-ext-tape-sealant-perekat,35 0 * * *,tkp-tfm-tape-sealant-perekat,35 1 * * *,tkp-ext-tape-sealant-perekat-item,0 9 * * *,tkp-tfm-tape-sealant-perekat-item,0 14 * * *
https://www.tokopedia.com/p/fashion-anak-bayi/tas-anak,Tas Anak,0:35,1:35,9:30,14:30,tkp-ext-tas-anak,35 0 * * *,tkp-tfm-tas-anak,35 1 * * *,tkp-ext-tas-anak-item,30 9 * * *,tkp-tfm-tas-anak-item,30 14 * * *
https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/tas-case-kamera,Tas & Case Kamera,0:35,1:35,10:00,15:00,tkp-ext-tas-case-kamera,35 0 * * *,tkp-tfm-tas-case-kamera,35 1 * * *,tkp-ext-tas-case-kamera-item,0 10 * * *,tkp-tfm-tas-case-kamera-item,0 15 * * *
https://www.tokopedia.com/p/fashion-pria/tas-pria,Tas Pria,0:35,1:35,10:30,15:30,tkp-ext-tas-pria,35 0 * * *,tkp-tfm-tas-pria,35 1 * * *,tkp-ext-tas-pria-item,30 10 * * *,tkp-tfm-tas-pria-item,30 15 * * *
https://www.tokopedia.com/p/fashion-wanita/tas-wanita,Tas Wanita,0:35,1:35,11:00,16:00,tkp-ext-tas-wanita,35 0 * * *,tkp-tfm-tas-wanita,35 1 * * *,tkp-ext-tas-wanita-item,0 11 * * *,tkp-tfm-tas-wanita-item,0 16 * * *
https://www.tokopedia.com/p/buku/teknik-sains,Teknik & Sains,0:50,1:50,11:30,16:30,tkp-ext-teknik-sains,50 0 * * *,tkp-tfm-teknik-sains,50 1 * * *,tkp-ext-teknik-sains-item,30 11 * * *,tkp-tfm-teknik-sains-item,30 16 * * *
https://www.tokopedia.com/p/elektronik/telepon,Telepon,0:50,1:50,12:00,17:00,tkp-ext-telepon,50 0 * * *,tkp-tfm-telepon,50 1 * * *,tkp-ext-telepon-item,0 12 * * *,tkp-tfm-telepon-item,0 17 * * *
https://www.tokopedia.com/p/makanan-minuman/telur,Telur,0:50,1:50,12:30,17:30,tkp-ext-telur,50 0 * * *,tkp-tfm-telur,50 1 * * *,tkp-ext-telur-item,30 12 * * *,tkp-tfm-telur-item,30 17 * * *
https://www.tokopedia.com/p/rumah-tangga/tempat-penyimpanan,Tempat Penyimpanan,0:50,1:50,13:00,18:00,tkp-ext-tempat-penyimpanan,50 0 * * *,tkp-tfm-tempat-penyimpanan,50 1 * * *,tkp-ext-tempat-penyimpanan-item,0 13 * * *,tkp-tfm-tempat-penyimpanan-item,0 18 * * *
https://www.tokopedia.com/p/pertukangan/tenaga-surya,Tenaga Surya,0:50,1:50,13:30,18:30,tkp-ext-tenaga-surya,50 0 * * *,tkp-tfm-tenaga-surya,50 1 * * *,tkp-ext-tenaga-surya-item,30 13 * * *,tkp-tfm-tenaga-surya-item,30 18 * * *
