Category Code,Code Unik,Category,Pop Up,Link
aksesoris-muslim-wanita,/?ajax=true&isFirstRequest=true&page=,Aksesoris Muslim Wanita,0,https://www.lazada.co.id/aksesoris-muslim-wanita/?ajax=true&isFirstRequest=true&page=
jual-baju-renang-muslim-wanita,/?ajax=true&isFirstRequest=true&page=,Baju Renang Muslim Wanita,0,https://www.lazada.co.id/jual-baju-renang-muslim-wanita/?ajax=true&isFirstRequest=true&page=
jual-baju-kurung-wanita,/?ajax=true&isFirstRequest=true&page=,Baju Kurung Wanita,0,https://www.lazada.co.id/jual-baju-kurung-wanita/?ajax=true&isFirstRequest=true&page=
lingerie-baju-tidur,/?ajax=true&isFirstRequest=true&page=,"Lingerie, Baju Tidur & Santai",0,https://www.lazada.co.id/lingerie-baju-tidur/?ajax=true&isFirstRequest=true&page=
bra-wanita,/?ajax=true&isFirstRequest=true&page=,Bra,0,https://www.lazada.co.id/bra-wanita/?ajax=true&isFirstRequest=true&page=
celana-dalam-wanita,/?ajax=true&isFirstRequest=true&page=,Celana Dalam ,0,https://www.lazada.co.id/celana-dalam-wanita/?ajax=true&isFirstRequest=true&page=
shapewear-baju-pembentuk-tubuh-wanita,/?ajax=true&isFirstRequest=true&page=,Shapewear,0,https://www.lazada.co.id/shapewear-baju-pembentuk-tubuh-wanita/?ajax=true&isFirstRequest=true&page=
bathrobe-baju-mandi-wanita,/?ajax=true&isFirstRequest=true&page=,Baju Tidur & Santai Wanita,0,https://www.lazada.co.id/bathrobe-baju-mandi-wanita/?ajax=true&isFirstRequest=true&page=
jual-jubah-tidur-wanita,/?ajax=true&isFirstRequest=true&page=,Jubah Tidur Wanita,0,https://www.lazada.co.id/jual-jubah-tidur-wanita/?ajax=true&isFirstRequest=true&page=
jual-set-lingerie,/?ajax=true&isFirstRequest=true&page=,Set Lingerie,0,https://www.lazada.co.id/jual-set-lingerie/?ajax=true&isFirstRequest=true&page=
jual-kamisol-slips-wanita,/?ajax=true&isFirstRequest=true&page=,Kamisol & Slips,0,https://www.lazada.co.id/jual-kamisol-slips-wanita/?ajax=true&isFirstRequest=true&page=
jual-bodysuit-wanita,/?ajax=true&isFirstRequest=true&page=,Bodysuit,0,https://www.lazada.co.id/jual-bodysuit-wanita/?ajax=true&isFirstRequest=true&page=
jual-aksesori-lingerie-wanita,/?ajax=true&isFirstRequest=true&page=,Aksesori Lingerie,0,https://www.lazada.co.id/jual-aksesori-lingerie-wanita/?ajax=true&isFirstRequest=true&page=
sepatu-wanita,/?ajax=true&isFirstRequest=true&page=,Sepatu Wanita,0,https://www.lazada.co.id/sepatu-wanita/?ajax=true&isFirstRequest=true&page=
flat-shoes,/?ajax=true&isFirstRequest=true&page=,Sepatu Flat Wanita,0,https://www.lazada.co.id/flat-shoes/?ajax=true&isFirstRequest=true&page=
heels,/?ajax=true&isFirstRequest=true&page=,Sepatu Hak Tinggi,0,https://www.lazada.co.id/heels/?ajax=true&isFirstRequest=true&page=
sneakers,/?ajax=true&isFirstRequest=true&page=,Sneakers Wanita,0,https://www.lazada.co.id/sneakers/?ajax=true&isFirstRequest=true&page=
wedges,/?ajax=true&isFirstRequest=true&page=,Wedges,0,https://www.lazada.co.id/wedges/?ajax=true&isFirstRequest=true&page=
boots-wanita,/?ajax=true&isFirstRequest=true&page=,Sepatu Boot Wanita,0,https://www.lazada.co.id/boots-wanita/?ajax=true&isFirstRequest=true&page=
aksesoris-sepatu-wanita,/?ajax=true&isFirstRequest=true&page=,Aksesoris Sepatu Wanita,0,https://www.lazada.co.id/aksesoris-sepatu-wanita/?ajax=true&isFirstRequest=true&page=
sandal-wanita,/?ajax=true&isFirstRequest=true&page=,Sandal Wanita,0,https://www.lazada.co.id/sandal-wanita/?ajax=true&isFirstRequest=true&page=
sandal-jepit-wanita,/?ajax=true&isFirstRequest=true&page=,Sandal & Flip Flop Wanita,0,https://www.lazada.co.id/sandal-jepit-wanita/?ajax=true&isFirstRequest=true&page=
aksesoris-wanita,/?ajax=true&isFirstRequest=true&page=,Aksesoris Wanita,0,https://www.lazada.co.id/aksesoris-wanita/?ajax=true&isFirstRequest=true&page=
ikat-pinggang-wanita,/?ajax=true&isFirstRequest=true&page=,Ikat Pinggang Wanita,0,https://www.lazada.co.id/ikat-pinggang-wanita/?ajax=true&isFirstRequest=true&page=
topi-wanita,/?ajax=true&isFirstRequest=true&page=,Topi Wanita,0,https://www.lazada.co.id/topi-wanita/?ajax=true&isFirstRequest=true&page=
aksesoris-rambut,/?ajax=true&isFirstRequest=true&page=,Aksesoris Rambut Wanita,0,https://www.lazada.co.id/aksesoris-rambut/?ajax=true&isFirstRequest=true&page=
scarf-wanita,/?ajax=true&isFirstRequest=true&page=,Scarf Wanita,0,https://www.lazada.co.id/scarf-wanita/?ajax=true&isFirstRequest=true&page=
sarung-tangan-wanita,/?ajax=true&isFirstRequest=true&page=,Sarung Tangan Wanita,0,https://www.lazada.co.id/sarung-tangan-wanita/?ajax=true&isFirstRequest=true&page=
shop-women-fabricmask,/?ajax=true&isFirstRequest=true&page=,Masker Wajah Wanita,0,https://www.lazada.co.id/shop-women-fabricmask/?ajax=true&isFirstRequest=true&page=
tas-wanita,/?ajax=true&isFirstRequest=true&page=,Tas Wanita,0,https://www.lazada.co.id/tas-wanita/?ajax=true&isFirstRequest=true&page=
tas-punggung-wanita,/?ajax=true&isFirstRequest=true&page=,Tas Ransel Wanita,0,https://www.lazada.co.id/tas-punggung-wanita/?ajax=true&isFirstRequest=true&page=
jual-aksesori-tas-wanita,/?ajax=true&isFirstRequest=true&page=,Aksesoris Tas,0,https://www.lazada.co.id/jual-aksesori-tas-wanita/?ajax=true&isFirstRequest=true&page=
shop-tas-pinggang-wanita,/?ajax=true&isFirstRequest=true&page=,Tas Pinggang Wanita,0,https://www.lazada.co.id/shop-tas-pinggang-wanita/?ajax=true&isFirstRequest=true&page=
