shop_code,shop_name,total_page,shop_id
apotekfarmasi3,Apotek Farmasi 3 by GoApotik,2,237573777
vitamindiskon,VitaminDiskon Official Shop,2,50972887
apoteksumberwuni,Apotek Sumber Wuni by GoApotik,2,253105497
mor.mart,MOR Mart,2,332732864
apoteksehatmandiri,Apotek Sehat Mandiri by GoApotik,2,262865624
apotekdandefarma,Apotek Dande Farma by Goapotik,2,253408445
apotekberkahmedica,Apotek Berkah Medica by Goapotik,2,267912965
apotekapollobandung,Apotek Apollo Bandung by GoApotik,2,261907356
snack.mazter,Snack Mazter,2,1521932
vivaapotekofficial,Viva Apotek Official Shop,2,309940894
apotekmarisehatmedan,Apotek Mari Sehat Medan By GoApotik,2,262859468
lottemart.indonesia,LOTTE MART Official Store,2,51700372
apotekmerapimandiri,Apotek Merapi Mandiri by GoApotik,2,267147911
apotekdukuhsetro,Apotek Dukuh Setro by GoApotik,2,257881455
farmaku,Farmaku Official Shop,2,36998337
retelaofficialshop,RETELA Official Shop,2,175375997
apotekk24bintangfarma,Apotek K24 Bintang Farma by GoApotik,2,237569362
apotekapollosurabaya,Apotek Apollo Surabaya by GoApotik,2,253100724
aptfarmamedika,Apotek Farmamedika by Goapotik,2,252038547
yogyaonlinesupermarket,Yogya Online Supermarket Official Shop,2,267061543
hypermart.cilegon,Hypermart Cilegon Authorized Store,2,313073708
favo.official,FAVO id Official Store,2,18163317
hypermart.ciputrapekanbaru,Hypermart Ciputra Pekanbaru Authorized Store,2,381753969
wingsofficialshop,Wings Official Shop,2,64474495
hypermart.singkawang,Hypermart Singkawang Authorized Store,2,422960591
hypermart.palopo,Hypermart Palopo Authorized Store,2,382298768
hypermart.arifrahmanhakim,Hypermart Arif Rahman Hakim Authorized Store,2,551926886
hypermart.gorontalo,Hypermart Gorontalo Authorized Store,2,382300998
hypermart.manadokairagi,Hypermart Manado Kairagi Authorized Store,2,381812576
hypermart.jcm,Hypermart Yogya City Mall Authorized Store,2,319997028
hypermart.banjarmasin,Hypermart Banjarmasin Authorized Store,2,382204768
hypermart.malang,Hypermart Malang Authorized Store,2,319997471
hypermart.sidoarjo,Hypermart Sidoarjo Authorized Store,2,313069733
hypermart.bigmallsamarinda,Hypermart Big Mall Samarinda Authorized Store,2,382297855
hypermart.cikarang,Hypermart Cikarang Authorized Store,2,313076204
hypermart.paragonmallsmg,Hypermart Paragon Authorized Store,2,319996246
hypermart.cianjur,Hypermart Cianjur Authorized Store,2,313076864
hypermart.hartonomalljogja,Hypermart Yogya Hartono Authorized Store,2,319996782
hypermart.pasoambon,Hypermart Paso Ambon Authorized Store,2,382302892
hypermart.ciputrapekanbaru,Hypermart Ciputra Pekanbaru Authorized Store,2,381753969
unileverindonesia,Unilever Indonesia Official Shop,2,14318452
hypermart.royal,Hypermart Royal Authorized Store,2,313067026
hypermart.citrarayatangerang,Hypermart Citra Raya Tangerang Authorized Store,2,525292591
hypermart.lubuklinggau,Hypermart Lubuk Linggau Authorized Store,2,381749657
hypermart.tanjungpinang,Hypermart Tanjung Pinang Authorized Store,2,381762535
hypermart.panakukang,Hypermart Panakukang Authorized Store,2,382298122
hypermart.batumalang,Hypermart Batu Malang Authorized Store,2,319997755
hypermart.bangka,Hypermart Bangka Authorized Store,2,381751334
hypermart.jayapura,Hypermart Jayapura Authorized Store,2,382303261
hypermart.kupangeltari,Hypermart Kupang El Tari Authorized Store,2,382301987
hypermart.jambi,Hypermart Jambi Authorized Store,2,381753293
hypermart.banjarbaru,Hypermart Banjarbaru Authorized Store,2,381815184
hypermart.ternate,Hypermart Ternate Authorized Store,2,382302428
hypermart.gresikmall,Hypermart Gresik Mall Authorized Storem,2,313077854
hypermart.hartonomallsolo,Hypermart Solo Hartono Authorized Store,2,319999499
hypermart.palembangsquare,Hypermart Palembang Square Authorized Store,2,393033644
aptmose,Apotek MOSE by Goapotik,2,267151102
hypermart.lombokepicentrum,Hypermart Lombok Epicentrum Authorized Store,2,381747159
hypermart.pekalongan,Hypermart Pekalongan Authorized Store,2,319999003
hypermart.foodjunction,Hypermart Food Junction Authorized Store,2,313066082
hypermart.kudus,Hypermart Kudus Authorized Store,2,319998719
hypermart.bengkulu,Hypermart Bengkulu Authorized Store,2,381751110
hypermart.madiun,Hypermart Madiun Authorized Store,2,369740411
primo.citos,Primo Cilandak Town Square Authorized Store,2,295435554
hypermart.sunplaza,Hypermart Sun Plaza Authorized Store,2,381811899
hypermart.pesonasquare,Hypermart Pesona Square Depok Authorized Store,2,393033227
hypermart.eastcoast,Hypermart East Coast Authorized Store,2,313068104
hypermart.baligaleria,Hypermart Bali Galeria Authorized Store,2,320001484
hypermart.pakuwon,Hypermart Pakuwon Authorized Store,2,313065287
hypermart.karawaci,Hypermart Karawaci Authorized Store,2,410847381
hypermart.toleiskandar,Hypermart Tole Iskandar Authorized Store,2,525291805
apotekmandjur,Apotek Mandjur Official Shop,2,550817455
century.citywalksudirman,Century Authorized Store Citywalk Sudirman,2,574059144
apotekdutafarma2,Apotek Duta Farma II by Goapotik,2,254167050
bayininja,BAYININJA,2,18282027
apotekjalanbaru,Apotek Jalan Baru by Goapotik,2,280166284
kedaimartofficial,KedaiMart Official Shop,2,267063888
alfadigital.id,ALFAMIDI OFFICIAL STORE,2,31205030
aeonsupermarket,AEON Supermarket Official Shop,2,258803749
watsonsid,Watsons Indonesia Official Shop,2,30736001
abbottindonesia,Abbott Official Store,2,27475286
abbotthealth,Abbott Health Official Shop,2,836740033
abcbatteryofficial,ABC Official Shop,2,35680799
americantouristerid,American Tourister Official Shop,2,305024492
astrogoods,Astro Goods Official Store,2,881142017
barenbliss,barenbliss Official Shop,2,481522314
itsmybase,BASE Official Shop,2,446026318
bootsofficial,Boots Official Shop,2,510901977
caudalieofficialstore,Caudalie ID Official Shop,2,769031545
centuryofficial,Century Health Official Shop,2,121791179
century.arthagading,Century Authorized Store Artha Gading,2,469552475
century.kotakasablanka,Century Authorized Store Kota Kasablanka,2,574057708
dewisrispaofficialstore,Dewi Sri Spa Official Shop,2,757736959
durexofficial,Reckitt Wellness Official,2,271993329
elsheskin_,ElsheSkin Official Shop,2,9035345
enesisofficialshop,Enesis Official Shop,2,78892667
enfastore,Enfa A+ Official Shop,2,46796711
erhaofficialstore,ERHASTORE OFFICIAL,2,129153987
excelsostore,Excelso Official Shop,2,292401891
indomie.official,Indomie Official Shop,2,133304525
innisfreeofficialshop,Innisfree Official Shop,2,61504589
kojiesanofficialindonesia,Kojie-San Official Shop,2,531855005
makarizo,Makarizo Official Shop,2,18102367
mamaschoiceid,Mama's Choice Official Shop,2,145504671
missdaisyindonesia,Miss Daisy Official Shop,2,332381969
momogiofficial,Momogi Official Shop,2,754378155
oemahherborist,Oemah Herborist Official Shop,2,2315394
pgofficialstore,P&G Official Store,2,11487927
royalcanin.id,Royal Canin Official Shop,2,91681758
philipsofficialshop,Philips Official Shop,2,438891817
safiofficialstore,Safi Official Shop,2,63823668
samsoniteindonesia,Samsonite Official Shop,2,492650266
sasa.official,Sasa Official Shop,2,142014424
senkaid,Senka by FineToday Official,2,138850166
skinfoodofficialshop,SKINFOOD Official Shop,2,631078110
skintific.indo,SKINTIFIC Official Shop,2,457706720
softexindonesia,Softex Indonesia Official,2,76985719
somethinc,SOMETHINC Official Shop,2,195455930
sudocrem.officia,Sudocrem Official Shop,2,886192709
verileofficialstore,Verile Official Store,2,975872659
wardahofficial,Wardah Official Shop,2,59763733
watsonsid,Watsons Indonesia Official Shop,2,30736001
garnierindonesia,Garnier Indonesia Official Shop,2,62583853
lorealprofessionnelid,Loreal Professionnel Indonesia Official Shop,2,212047723
ajinomoto.id,Ajinomoto Official Shop,2,61668240
budsorganics.id,Buds Organics Official Store,2,31523433
duabelibis,Dua Belibis Official Shop,2,59512114
konimexofficial,Konimex Store,2,63334771
mustela_indonesia,Mustela Indonesia Official Shop,2,145172939
purinastore,Nestle Purina Pet Care Official Shop,2,30432952
rosebrand,Rose Brand Official Store,2,42195663
simbacereal,Simba Official Shop,2,67400094
whiskas.id,Whiskas Official Shop,2,76617760
3m.id,3M Indonesia Official Shop,2,323543698
aptbintangsehat,Apotek Bintang Sehat by Goapotik,2,267143005
apoteklulusehat,Apotek Lulu Sehat by GoApotik,2,252000198
apotekmahameru,Apotek Mahameru by Goapotik,2,254165985
apotekmitrasehatjkt,Apotek Mitra Sehat Jakarta by GoApotik,2,261481768
apoteknssimpang,Apotek NS Simpang Grajakan,2,261903686
apotekprimabogor,Apotek Prima Bogor by GoApotik,2,237571170
apoteksejahteradepok,Apotek Sejahtera Depok by GoApotik,2,261902530
apotektamankedoya,Apotek Taman Kedoya by GoApotik,2,261491820
avoskinofficial,Avoskin Official Shop,2,154494405
goldensnack_official,Golden Snack Official,2,40079377
guardianofficial,Guardian Official Shop,2,186214521
indofooddapurcitarasa,Dapur Indofood Official Store,2,118896790
indomilkofficialstore,INDOMILK Official Shop,2,96557246
japfabestjakartautara,Japfa Best Jakarta Utara,2,261036309
japfabestjakartabarat,Japfa Best Jakarta Barat,2,269517313
japfabestbintaro,Japfa Best Bintaro,2,271977566
makarizo.professional,Makarizo Professional Official Shop,2,63954764
maskit.store,Maskit Store Official Shop,2,50545562
mclewis.id,Mc Lewis Official Shop,2,176929340
mitrasana.semarang,Mitrasana Authorized Store Semarang,2,250302706
morrisparfume,Morris Parfume Official Shop,2,108371280
dolcegustoid,NESCAFE Dolce Gusto Official Shop,2,217324515
realfoodofficial,Realfood Official Shop,2,214363833
aeonsupermarket,AEON Supermarket Official Shop,2,258803749
apteksotika,Apotek Eksotika by GoApotik,2,285708636
apotekkasuari,Apotek Kasuari by GoApotik,2,285706142
apotekpalmeriam,Apotek Palmeriam by GoApotik,2,270772538
bimoli.official,Bimoli Official Shop,2,307978001
guele,Guèle Official Shop,2,180536873
nuxeofficialid,Nuxe Indonesia Official,2,296630661
freezyfresh.bandung,Freezy Fresh Authorized Store Bandung,2,292016842
freezyfresh.jakut,Freezy Fresh Authorized Store Jakarta Utara,2,313742424
freezyfresh.tangerang,Freezy Fresh Authorized Store Tangerang,2,284619799
hypermart.abepura,Hypermart Abepura Authorized Store,2,382304142
hypermart.ciputraworldsurabaya,Hypermart Ciputra World Surabaya Authorized Store,2,551927557
hypermart.ciledug,Hypermart Ciledug Authorized Store,2,562676920
hypermart.cimanggisdua,Hypermart Cimanggis 2 Authorized Store,2,562677450
hypermart.kendari,Hypermart Kendari Authorized Store,2,382300313
hypermart.melatimas,Hypermart Melati Mas Authorized Store,2,526983456
hypermart.palu2,Hypermart Palu 2 Authorized Store,2,382299725
hypermart.tamanyasmin,Hypermart Taman Yasmin Authorized Store,2,562616824
hypermart.cirebon,Hypermart Cirebon Authorized Store,2,319998056
hypermart.kediri,Hypermart Kediri Authorized Store,2,320000233
hypermart.mtcbandung,Hypermart MTC Bandung Authorized Store,2,313072843
hypermart.serang,Hypermart Serang Authorized Store,2,313074462
hypermart.solosquare,Hypermart Solo Square Authorized Store,2,320001199
hypermart.balikpapanpentacity,Hypermart Balikpapan Pentacity Authorized Store,2,381817632
hypermart.jember,Hypermart Jember Authorized Store,2,394883689
hypermart.manadots,Hypermart Manado TS Authorized Store,2,381749965
hypermart.palangkaraya,Hypermart Palangkaraya Authorized Store,2,381813610
hypermart.pekanbaruska,Hypermart Pekanbaru SKA Authorized Store,2,410848458
hypermart.pontianak,Hypermart Pontianak Authorized Store,2,381813277
rolloverreaction,Rollover Reaction Official Shop,2,80079301
whitelab,Whitelab Official Shop,2,201071840
scarlettofficialshop,Scarlett Whitening Official Shop,2,255365082
luxcrime,Luxcrime Official Shop,2,3278276
blpbeauty,BLP Official Store,2,127651884
buttonscarvesofficial,Buttonscarves Official Shop,2,83739023
adidasindonesia,adidas Official Shop,2,270510657
ventela.lnc,Ventela,2,111111853
compass.store,Compass Official Store,2,218621911
guessofficialstore,Guess Official Store,2,242857160
kidzstationofficial,Kidz Station Official Shop,2,230978434
sportsstationofficialshop,Sports Station Official Shop,2,234490784
terrypalmerid,Terry Palmer Indonesia,2,133323033
mothercare.elc,Mothercare Official Store,2,61516207
